Gene,P.Value,Log FC
ISL1,7.57e-02,-2.68e-01
RFFL,9.75e-02,-6.34e-01
SEZ6L,1.06e-01,-3.24e-01
OTUB2,4.75e-02,1.44e-01
SCARNA9L,8.40e-02,2.12e-01
ZNF695,4.79e-02,-1.45e-01
FAM48A,5.89e-02,2.73e-01
GPR97,4.67e-02,1.23e-01
ISLR2,1.37e-01,-8.39e-01
GRK6,5.95e-02,-2.02e-01
BEX1,1.68e-01,-8.54e-01
ATP5G1,1.08e-01,-4.99e-01
MLL2,7.40e-02,-4.08e-01
IMMP2L,6.55e-02,2.52e-01
KIFC2,1.23e-01,-7.04e-01
MBIP,5.62e-02,2.31e-01
CPNE8,7.70e-02,5.22e-01
WHAMM,6.03e-02,-2.74e-01
PDS5A,8.48e-02,-5.20e-01
CYP46A1,6.85e-02,-2.24e-01
MAT2B,9.46e-02,2.93e-01
PRR12,7.31e-02,-3.46e-01
OPA3,7.14e-02,-2.50e-01
POLD2,6.96e-02,-4.08e-01
HOXD1,9.27e-02,-6.54e-01
RPL28,5.88e-02,-1.91e-01
TJP2,9.02e-02,5.77e-01
NCOA4,6.56e-02,3.47e-01
EIF4E,7.47e-02,4.22e-01
FAM117B,5.94e-02,-2.35e-01
C6orf168,1.84e-01,-7.08e-01
NHP2L1,7.72e-02,3.12e-01
TRAF4,7.42e-02,-4.24e-01
MESDC2,6.12e-02,-3.17e-01
GNPTG,5.67e-02,-1.95e-01
ATG12,5.67e-02,2.60e-01
S100A12,2.21e-01,-4.69e-01
KLHDC3,1.04e-01,-4.79e-01
OR7D2,6.70e-02,-2.14e-01
CYP4X1,1.69e-01,-6.53e-01
TNNI3K,5.90e-02,-1.71e-01
KHDRBS3,8.02e-02,-6.39e-01
BACH2,7.83e-02,2.57e-01
TMEM225,4.63e-02,-1.16e-01
FOSL1,5.16e-02,1.98e-01
IFI27,7.88e-02,6.19e-01
BSDC1,6.66e-02,-2.69e-01
PPFIBP2,8.12e-02,-3.50e-01
FAM69A,6.61e-02,-3.78e-01
CCNA2,6.20e-02,3.05e-01
PA2G4,5.30e-02,2.24e-01
FGA,1.81e-01,-6.36e-01
KIAA0196,7.03e-02,-4.51e-01
KRTAP5-11,5.86e-02,-3.03e-01
RIT2,1.70e-01,-4.40e-01
HMGCL,5.20e-02,1.60e-01
DACH2,1.58e-01,-4.65e-01
PELI1,6.35e-02,3.79e-01
CCDC154,8.51e-02,-5.07e-01
LOC390660,4.96e-02,-1.44e-01
LINC00466,4.78e-02,-1.34e-01
CNTRL,6.84e-02,2.83e-01
PCMTD2,6.09e-02,-3.00e-01
ZNF7,5.14e-02,-2.11e-01
PTPRR,1.68e-01,-6.10e-01
KLHL14,5.23e-02,-1.39e-01
LIN37,5.54e-02,-2.58e-01
ABHD14A,1.05e-01,-5.77e-01
RGS3,5.92e-02,-2.94e-01
LOC100131662,1.20e-01,-7.89e-01
CPEB4,6.82e-02,3.09e-01
MOCOS,6.45e-02,1.55e-01
RHOB,7.13e-02,-4.75e-01
UBC,1.04e-01,5.97e-01
PPP1R1B,1.38e-01,4.56e-01
MYT1L,1.49e-01,-8.28e-01
GNB5,1.39e-01,-4.69e-01
MAX,7.78e-02,3.68e-01
CCNO,1.37e-01,-5.94e-01
TMEM2,1.45e-01,2.87e-01
FAM65B,1.07e-01,-2.62e-01
RNF208,1.19e-01,-6.64e-01
GRM4,2.24e-01,-3.01e-01
FAM149A,8.88e-02,5.39e-01
EIF3G,6.56e-02,-2.94e-01
APOC4,2.27e-01,3.02e-01
VRTN,5.60e-02,-1.80e-01
JMJD5,4.96e-02,-1.76e-01
SFRP4,5.51e-02,2.44e-01
ENPP4,7.66e-02,-5.63e-01
C14orf23,9.18e-02,-1.67e-01
LOC100130700,5.05e-02,-1.52e-01
ENOX1,6.72e-02,-4.27e-01
LINC00092,6.09e-02,2.96e-01
RPRML,2.14e-01,-9.94e-01
ZDHHC2,8.80e-02,4.09e-01
COL3A1,1.39e-01,-2.42e-01
LOC51145,5.05e-02,1.71e-01
GPX7,5.98e-02,2.37e-01
JUND,6.86e-02,-4.41e-01
ITGA2,6.62e-02,-2.31e-01
ACOT7,1.42e-01,-1.32
MYH2,5.55e-02,-1.76e-01
TTN,9.06e-02,6.49e-01
EDIL3,2.04e-01,-8.29e-01
MTHFD1,9.56e-02,2.23e-01
PRKACB,8.87e-02,-6.59e-01
TSGA10,7.16e-02,-3.34e-01
HERC3,5.06e-02,-1.73e-01
ETV6,5.83e-02,2.82e-01
MTAP,8.71e-02,3.91e-01
ISYNA1,7.26e-02,2.52e-01
FER1L4,8.80e-02,7.11e-01
IER3,1.48e-01,5.00e-01
APLN,9.17e-02,6.29e-01
CHST2,1.09e-01,-5.10e-01
ATP5J,7.71e-02,-4.21e-01
TREX1,7.57e-02,-3.75e-01
C1orf98,5.00e-02,-1.74e-01
TMEM88,7.44e-02,-2.74e-01
GPR84,9.99e-02,3.04e-01
CBY1,5.13e-02,1.64e-01
RASA4,1.21e-01,-4.66e-01
NDUFA4,1.04e-01,-8.00e-01
YIPF5,8.89e-02,-4.48e-01
ZNF467,9.06e-02,-4.01e-01
GNPDA1,6.16e-02,2.74e-01
SLC35F5,1.11e-01,3.01e-01
LOC100653296,8.56e-02,2.88e-01
PQBP1,6.21e-02,2.06e-01
SWI5,5.93e-02,-2.66e-01
CCNT1,9.29e-02,3.33e-01
ECHDC1,5.21e-02,-1.55e-01
CYP11B1,5.14e-02,1.93e-01
H2BFM,8.70e-02,2.59e-01
AHSA2,7.30e-02,3.87e-01
FAM204A,6.01e-02,2.08e-01
LOC100499221,1.42e-01,-3.07e-01
BBIP1,5.83e-02,-2.60e-01
POLR2F,7.47e-02,-3.02e-01
MARCO,2.12e-01,-3.61e-01
LOC729603,6.50e-02,2.09e-01
PKN1,7.44e-02,-3.40e-01
EBF3,1.16e-01,-2.25e-01
TPM3,1.04e-01,5.28e-01
OR2A9P,5.34e-02,2.06e-01
TMCO4,6.23e-02,1.84e-01
HSF4,6.15e-02,-3.11e-01
CCDC72,6.06e-02,-2.94e-01
HLF,1.79e-01,-8.07e-01
SH3RF1,6.74e-02,-4.07e-01
SLC35D3,1.48e-01,-3.15e-01
SOX4,5.89e-02,2.58e-01
SRRM4,2.28e-01,-6.96e-01
SURF2,7.39e-02,-4.18e-01
FRMD5,1.37e-01,-3.72e-01
ANKZF1,7.17e-02,-4.21e-01
LOC646214,5.53e-02,2.41e-01
TMSB10,1.36e-01,4.04e-01
MAN1B1,8.21e-02,-3.71e-01
HSP90AA1,1.07e-01,9.14e-01
MAGEB10,5.18e-02,-1.75e-01
KIAA1644,1.45e-01,-8.69e-01
CSNK1G2,7.74e-02,-4.35e-01
SIDT2,5.91e-02,-2.99e-01
PTMA,1.68e-01,-3.24e-01
MSH5,5.69e-02,2.09e-01
WHSC1L1,5.77e-02,2.52e-01
SNTG2,1.07e-01,-4.73e-01
GAD2,1.44e-01,-6.07e-01
NDUFA4L2,8.67e-02,-2.24e-01
AEN,5.99e-02,2.62e-01
LOC100130800,5.15e-02,1.56e-01
ZNF793,8.97e-02,-2.96e-01
CRP,2.05e-01,-3.84e-01
FAM122C,7.84e-02,2.11e-01
GRM7,5.53e-02,-1.72e-01
PMS2P5,6.53e-02,-3.16e-01
MECP2,7.40e-02,4.71e-01
HGSNAT,6.80e-02,-3.86e-01
FAM78B,5.31e-02,-1.65e-01
CLDN19,5.74e-02,-2.14e-01
HSPB11,5.93e-02,2.25e-01
SVIP,8.37e-02,-5.26e-01
RPS13,7.52e-02,2.38e-01
SC5DL,6.16e-02,2.94e-01
CAD,5.37e-02,-2.25e-01
KCNH3,9.01e-02,-4.57e-01
SREBF1,1.57e-01,-1.02
BEST4,1.48e-01,-3.21e-01
HCFC1R1,8.77e-02,-3.36e-01
TCHP,7.81e-02,-2.99e-01
C1QTNF4,1.82e-01,-6.92e-01
IRAK1,7.97e-02,4.32e-01
HYDIN,5.70e-02,1.62e-01
PPL,7.64e-02,-4.99e-01
CBLN1,2.36e-01,-2.86e-01
HIST1H4D,8.71e-02,5.06e-01
FLJ14186,6.44e-02,-3.35e-01
PGBD2,8.00e-02,3.41e-01
CD320,8.32e-02,-1.95e-01
MED27,5.43e-02,-2.29e-01
CYB5R2,9.69e-02,-7.13e-01
COL16A1,8.32e-02,-2.39e-01
LOC389765,1.23e-01,5.15e-01
NUP153,6.25e-02,2.32e-01
PTEN,1.00e-01,2.94e-01
LINC00483,5.16e-02,-1.21e-01
RET,1.27e-01,-3.46e-01
SERPIND1,1.98e-01,-3.39e-01
TRADD,6.94e-02,-3.92e-01
IKBIP,6.23e-02,2.50e-01
NETO1,1.74e-01,-6.55e-01
BCCIP,5.32e-02,2.07e-01
B3GNT2,5.41e-02,2.27e-01
NRG1,9.42e-02,-2.14e-01
LOC100130015,7.16e-02,3.56e-01
APOF,1.85e-01,-3.85e-01
DPY19L2P2,6.44e-02,-2.42e-01
RGL3,6.31e-02,2.78e-01
ERI2,1.16e-01,3.41e-01
ATN1,6.86e-02,-3.34e-01
LOC728705,7.05e-02,-2.28e-01
CKLF,6.60e-02,3.61e-01
GPR26,2.01e-01,-8.61e-01
IPO5,8.02e-02,3.80e-01
FBXO18,6.53e-02,2.02e-01
ZC3H14,8.32e-02,3.11e-01
RABGAP1L,5.04e-02,1.56e-01
CTTNBP2,7.81e-02,-5.05e-01
FAM22A,6.15e-02,-2.18e-01
SRRM2,7.71e-02,-4.67e-01
LOC100131257,7.13e-02,2.84e-01
SERAC1,7.18e-02,-2.14e-01
UBE2D3,8.09e-02,4.38e-01
CRHBP,1.00e-01,-6.67e-01
NRIP3,1.85e-01,-5.57e-01
RENBP,6.44e-02,2.18e-01
DHX38,7.68e-02,-4.39e-01
PPIAL4A,6.06e-02,-2.86e-01
RNF175,1.42e-01,-8.80e-01
ANKRD17,5.92e-02,2.12e-01
ILF3,6.37e-02,-2.57e-01
MED22,6.11e-02,-2.65e-01
HNRNPA2B1,1.15e-01,5.85e-01
C6orf127,5.05e-02,-1.53e-01
PRDM2,6.59e-02,2.13e-01
MEIS1,7.39e-02,-4.72e-01
PCDH9,1.07e-01,-6.15e-01
HAS1,5.91e-02,-1.88e-01
MBTPS1,7.08e-02,1.88e-01
STT3A,6.11e-02,3.02e-01
RSAD1,7.62e-02,3.56e-01
PCDHB8,5.31e-02,1.81e-01
ELFN1,6.91e-02,-3.34e-01
KCNAB1,1.74e-01,-2.97e-01
LOC100506459,7.67e-02,4.87e-01
FPGS,6.07e-02,-2.00e-01
RNF17,5.69e-02,-2.26e-01
ZNF707,6.11e-02,-2.91e-01
SDC4,1.29e-01,4.65e-01
TMSB4Y,5.86e-02,2.28e-01
COL6A6,5.33e-02,-1.53e-01
MAT1A,2.03e-01,-3.16e-01
LOC392196,5.04e-02,-1.43e-01
C6orf221,5.96e-02,-2.03e-01
NFE4,6.92e-02,-2.15e-01
SH3PXD2A,8.49e-02,-3.82e-01
KRTAP12-2,7.78e-02,-2.55e-01
CBFA2T2,8.77e-02,-5.74e-01
KRTAP10-9,6.92e-02,-2.66e-01
CTIF,9.95e-02,-3.74e-01
EPC2,5.99e-02,2.14e-01
FOLH1B,1.28e-01,-9.30e-01
UBXN4,9.49e-02,4.19e-01
A1BG,2.19e-01,-3.53e-01
ITLN1,9.49e-02,-2.14e-01
CCDC24,5.86e-02,-2.40e-01
DUSP11,5.03e-02,1.28e-01
NPY5R,9.07e-02,-2.45e-01
SPHKAP,1.78e-01,-2.78e-01
L3MBTL2,5.83e-02,-2.09e-01
ILDR1,5.58e-02,-2.24e-01
MFHAS1,5.99e-02,1.92e-01
AQR,6.11e-02,2.85e-01
PPID,1.35e-01,-5.00e-01
ZFAND3,9.09e-02,3.39e-01
ECD,5.50e-02,2.09e-01
ZNF169,7.51e-02,3.70e-01
OVOS2,7.71e-02,-2.69e-01
TAF3,6.91e-02,3.73e-01
LIM2,6.37e-02,-3.39e-01
LY6K,1.02e-01,4.25e-01
MAPK6,5.41e-02,2.12e-01
AHSG,2.13e-01,-3.13e-01
SIRT3,6.82e-02,-3.10e-01
CEBPE,8.22e-02,3.05e-01
CST3,1.01e-01,4.59e-01
CTNNAL1,1.17e-01,3.81e-01
APOA1,1.86e-01,2.47e-01
RASAL3,9.10e-02,5.91e-01
DTX2P1-UPK3BP1-PMS2P11,5.78e-02,-2.62e-01
CROCC,5.26e-02,-1.82e-01
SLC6A15,9.94e-02,-3.20e-01
PRPF38A,5.82e-02,2.15e-01
DEAF1,1.14e-01,-3.86e-01
TMEM229A,2.00e-01,-1.11
MEP1A,7.03e-02,2.68e-01
EXOSC2,6.64e-02,-3.12e-01
FOXP3,5.14e-02,-1.56e-01
ADAM32,7.30e-02,2.26e-01
CDS2,6.32e-02,2.46e-01
SNAP25,2.29e-01,-1.19
ERC1,7.02e-02,2.73e-01
ZNF10,6.27e-02,2.10e-01
TAS2R31,9.81e-02,3.35e-01
GPN3,6.78e-02,-3.37e-01
ZIC4,2.24e-01,-3.90e-01
BEX5,1.81e-01,-9.66e-01
FAM177B,8.29e-02,2.01e-01
MT1B,1.87e-01,4.62e-01
MIF,8.32e-02,-2.49e-01
ZNRF2,7.80e-02,3.71e-01
OTOG,5.09e-02,-1.31e-01
BEX2,1.27e-01,-1.02
RFPL2,1.76e-01,-6.91e-01
PKP2,1.46e-01,-2.50e-01
HDAC2,6.10e-02,2.01e-01
PRPSAP1,5.84e-02,-2.62e-01
SUGP1,5.57e-02,-2.05e-01
PAX2,1.37e-01,-2.19e-01
CAPN13,1.01e-01,-6.14e-01
ADARB2,9.57e-02,-7.24e-01
ACOX2,9.04e-02,4.30e-01
C11orf88,1.27e-01,-9.06e-01
TSEN34,8.03e-02,-2.13e-01
KLC1,1.05e-01,-6.77e-01
SRSF7,7.32e-02,2.97e-01
NAV3,9.65e-02,3.25e-01
PAFAH1B2,7.91e-02,-3.42e-01
C1QTNF7,5.18e-02,1.42e-01
EIF3H,8.93e-02,2.36e-01
LOC554207,5.25e-02,1.68e-01
MFSD7,6.20e-02,3.08e-01
C6orf168,1.84e-01,-6.41e-01
CD1C,6.29e-02,-1.79e-01
CFHR3,2.48e-01,3.43e-01
AMT,7.53e-02,-2.65e-01
PISD,1.27e-01,-2.32e-01
FNDC5,1.34e-01,-5.59e-01
SIRPG,1.15e-01,2.79e-01
XPO5,5.48e-02,1.94e-01
CDK10,9.18e-02,-4.17e-01
DBH,9.56e-02,-1.84e-01
PRAP1,1.39e-01,-2.46e-01
NOL3,7.47e-02,-3.16e-01
QKI,1.28e-01,-3.53e-01
SERPINI2,6.94e-02,3.82e-01
BZW2,8.11e-02,2.83e-01
FGD2,5.63e-02,2.30e-01
TCL1A,1.79e-01,-3.27e-01
CDADC1,6.08e-02,-1.88e-01
TSPEAR,5.53e-02,-1.55e-01
ADH1C,2.41e-01,-3.28e-01
HNRNPA1L2,5.98e-02,2.41e-01
KLHL8,6.94e-02,-3.90e-01
CORO2A,1.48e-01,-4.11e-01
R3HDM1,1.11e-01,-6.04e-01
DPF1,1.02e-01,-6.82e-01
C10orf137,7.42e-02,2.14e-01
PCSK6,8.80e-02,-6.30e-01
CCDC75,7.14e-02,2.48e-01
SMC3,7.30e-02,3.43e-01
OSBPL10,1.49e-01,-5.01e-01
ARMCX6,7.82e-02,2.55e-01
SMARCA2,7.36e-02,2.90e-01
CRABP1,1.90e-01,-3.29e-01
LYL1,5.65e-02,2.16e-01
DYNLT1,6.95e-02,3.14e-01
IBSP,5.97e-02,2.59e-01
SDHB,1.03e-01,-3.32e-01
PPP1CB,6.88e-02,3.06e-01
PDE1C,1.84e-01,-6.40e-01
NEK3,1.12e-01,-5.24e-01
PNMAL1,1.52e-01,-7.60e-01
NR2F2,2.33e-01,2.90e-01
TRMT1L,6.34e-02,-3.18e-01
STARD5,6.84e-02,2.35e-01
MCMBP,7.20e-02,3.03e-01
IMPA2,9.13e-02,3.70e-01
EGR1,1.53e-01,6.48e-01
PDE1C,1.68e-01,-5.82e-01
KPNB1,6.66e-02,2.69e-01
OLFM4,1.65e-01,-2.60e-01
CRNKL1,6.12e-02,1.75e-01
MOBP,1.43e-01,-9.92e-01
LOC554206,5.25e-02,-1.50e-01
SARS,6.28e-02,-2.40e-01
RAP1GAP,9.68e-02,-3.35e-01
CPT1B,6.56e-02,-3.16e-01
RALYL,1.81e-01,-7.82e-01
PPP1R27,5.95e-02,-1.63e-01
NOP56,6.23e-02,-2.31e-01
C14orf45,6.16e-02,2.24e-01
WHSC1,5.83e-02,-2.17e-01
LOC286109,1.25e-01,4.90e-01
UTS2R,9.89e-02,-3.46e-01
C9orf102,5.74e-02,2.20e-01
LOC100132099,6.14e-02,1.91e-01
SLC8A2,1.59e-01,-5.20e-01
GREM1,1.04e-01,-6.75e-01
C20orf160,6.22e-02,-2.17e-01
LIG1,7.39e-02,-4.32e-01
SS18,7.55e-02,-3.75e-01
LRCH4,7.27e-02,-2.48e-01
C6orf118,1.28e-01,9.48e-01
PDS5A,5.99e-02,2.53e-01
MCCC1,7.65e-02,-3.20e-01
NEK10,1.11e-01,-4.20e-01
LOC100130348,8.77e-02,-2.57e-01
WRN,5.83e-02,2.41e-01
POR,9.61e-02,-3.50e-01
TMEM144,1.62e-01,-1.12
HNRNPH3,8.17e-02,3.94e-01
SLC9A5,1.66e-01,-3.24e-01
CPLX2,1.15e-01,-4.28e-01
STRBP,1.13e-01,4.16e-01
PCIF1,5.91e-02,-2.28e-01
TRIM36,9.71e-02,-7.06e-01
KIAA1661,5.80e-02,2.41e-01
HBB,2.33e-01,-9.90e-01
SSX5,7.98e-02,3.94e-01
MED9,9.15e-02,2.57e-01
CD69,1.08e-01,4.83e-01
HSD17B3,1.18e-01,-5.62e-01
CHRDL2,1.04e-01,-2.49e-01
MAP1LC3B,7.61e-02,3.58e-01
ATP6AP2,6.01e-02,2.64e-01
GALNT9,1.66e-01,-7.20e-01
LOC653160,5.57e-02,-2.02e-01
TDO2,2.56e-01,-2.61e-01
PLBD2,6.20e-02,-2.12e-01
TMLHE,5.56e-02,1.85e-01
HPS4,6.71e-02,-2.70e-01
SIM2,5.54e-02,-1.43e-01
C17orf58,8.66e-02,-3.87e-01
C16orf5,7.61e-02,-2.65e-01
SESN1,7.02e-02,3.85e-01
RUNX1,9.14e-02,6.08e-01
C6orf48,6.38e-02,-2.87e-01
TMEM179,6.07e-02,-2.28e-01
SSR1,6.40e-02,-2.21e-01
KAT8,7.13e-02,-2.77e-01
HNRNPD,9.03e-02,-3.18e-01
C5orf65,5.63e-02,-1.64e-01
OCM2,5.61e-02,-2.08e-01
ACBD3,7.09e-02,2.64e-01
MRFAP1,7.51e-02,-3.58e-01
FGF14,1.45e-01,-3.75e-01
FRMD8,8.23e-02,-5.35e-01
DPH3P1,9.39e-02,3.18e-01
EFNB3,1.55e-01,-7.60e-01
CCNE1,9.71e-02,-3.08e-01
AKAP5,1.93e-01,-5.49e-01
CSF2RA,1.05e-01,4.75e-01
MINA,5.70e-02,2.15e-01
LOC100499183,1.50e-01,4.03e-01
ZNF638,1.14e-01,3.17e-01
SYT3,1.45e-01,-4.50e-01
TARDBP,5.80e-02,-1.96e-01
SNORA2A,5.67e-02,-2.05e-01
PHACTR1,5.81e-02,2.32e-01
CAMKK1,1.59e-01,-1.04
MYH3,8.75e-02,-3.71e-01
ZMYND8,6.10e-02,2.72e-01
RNASE13,5.69e-02,-1.94e-01
POLR2J,5.78e-02,2.28e-01
MLLT10,5.91e-02,1.72e-01
CXCR2P1,7.25e-02,-1.48e-01
SLC25A12,1.50e-01,-4.71e-01
PKD1L2,7.11e-02,-3.93e-01
PTGER3,7.12e-02,-1.65e-01
PTTG1IP,1.36e-01,7.81e-01
LOC728093,6.13e-02,1.51e-01
LOC646508,5.43e-02,1.42e-01
TBCD,7.92e-02,-3.84e-01
RIPK4,1.59e-01,-3.05e-01
FLJ22184,1.03e-01,-3.55e-01
MAP6,7.43e-02,2.98e-01
TMEM132C,6.95e-02,-3.60e-01
CYP2C19,2.58e-01,-2.91e-01
ADNP,6.00e-02,2.52e-01
AOC4,5.62e-02,-1.70e-01
C6orf174,7.20e-02,3.67e-01
LRTM2,1.53e-01,-6.58e-01
ZNF25,1.03e-01,-4.65e-01
CDADC1,6.76e-02,-2.27e-01
CNNM2,5.55e-02,-1.89e-01
SLC25A5,1.13e-01,-3.65e-01
MAGOHB,6.50e-02,2.52e-01
TAZ,7.40e-02,-3.69e-01
SCN2B,2.13e-01,-7.68e-01
PAQR9,1.35e-01,-4.09e-01
BZW2,8.14e-02,-3.30e-01
PTPRH,7.44e-02,-4.24e-01
BRD8,5.79e-02,-2.11e-01
GNAS,1.43e-01,-6.00e-01
DIDO1,8.37e-02,2.44e-01
CEACAM20,6.19e-02,2.26e-01
PARP4,1.28e-01,6.61e-01
PRSS56,1.12e-01,-5.74e-01
POTEM,5.64e-02,-1.30e-01
RAP1GAP2,1.23e-01,-2.47e-01
CDC42SE2,6.92e-02,-3.40e-01
GABRA4,1.20e-01,-6.04e-01
CTRL,5.99e-02,-1.84e-01
DERL3,7.24e-02,-2.77e-01
CALY,9.57e-02,-3.69e-01
HHIP,2.45e-01,-7.56e-01
C6orf106,6.30e-02,-2.50e-01
KPNB1,6.67e-02,2.84e-01
EEF1A2,2.36e-01,-6.84e-01
FAM86B2,6.10e-02,2.33e-01
OR4K2,6.38e-02,-2.44e-01
C17orf69,7.92e-02,-4.38e-01
S100A5,7.56e-02,4.10e-01
B4GALNT1,1.64e-01,5.56e-01
LARP6,2.03e-01,-1.27
CYP2C8,2.46e-01,-2.86e-01
SLC35F4,6.96e-02,-1.33e-01
CDV3,8.13e-02,4.49e-01
SRSF11,1.08e-01,4.94e-01
CCND1,8.76e-02,-2.94e-01
SETD6,7.30e-02,1.94e-01
ZNF818P,8.04e-02,2.77e-01
CCNA1,7.02e-02,-2.76e-01
NRXN1,1.66e-01,-8.13e-01
CHTOP,7.15e-02,-2.85e-01
ZNF792,6.49e-02,2.12e-01
CLDN15,6.61e-02,-2.69e-01
ATXN10,6.76e-02,-3.26e-01
RACGAP1,6.30e-02,-2.42e-01
KDM1B,5.71e-02,1.75e-01
COL19A1,9.62e-02,-2.60e-01
LOC100130930,5.63e-02,-1.92e-01
RDH10,1.08e-01,3.76e-01
HLA-DQB1,1.78e-01,1.60
HEATR7A,9.40e-02,-2.83e-01
CHL1,7.80e-02,4.06e-01
CLEC17A,5.71e-02,-1.71e-01
VBP1,7.38e-02,-3.91e-01
SLC22A17,1.08e-01,-7.31e-01
SCG2,1.78e-01,6.63e-01
ANAPC1,6.01e-02,2.01e-01
C17orf69,5.47e-02,-1.55e-01
RNF151,6.34e-02,-2.26e-01
C15orf59,1.07e-01,-3.71e-01
MBD3,8.50e-02,-2.96e-01
ARHGAP19,1.04e-01,2.81e-01
MAPK12,5.98e-02,-2.15e-01
ZBTB20,1.05e-01,2.85e-01
SLAMF1,1.00e-01,1.77e-01
BEGAIN,2.14e-01,-6.07e-01
ABCD3,7.02e-02,-3.62e-01
STOX2,8.06e-02,-4.02e-01
HS3ST1,1.67e-01,3.54e-01
FOXI1,5.95e-02,1.71e-01
HERC1,7.61e-02,-3.86e-01
NBPF10,1.12e-01,5.03e-01
PPDPF,9.35e-02,-3.53e-01
PCBP3,9.04e-02,-2.28e-01
GOLM1,7.66e-02,4.23e-01
LINC00486,1.07e-01,-6.62e-01
CFTR,8.36e-02,-4.52e-01
BBS9,6.76e-02,3.20e-01
EPN3,1.74e-01,-5.15e-01
C2CD2L,1.36e-01,-3.25e-01
C11orf58,7.70e-02,-3.24e-01
CLCN5,8.98e-02,2.16e-01
GVINP1,7.77e-02,3.34e-01
ACTR1A,6.68e-02,-3.21e-01
POLR1C,8.10e-02,2.54e-01
CAPNS2,8.73e-02,2.19e-01
SRXN1,1.28e-01,6.90e-01
HNRNPU,9.61e-02,4.51e-01
ACPP,6.33e-02,1.69e-01
VTI1A,9.91e-02,2.81e-01
MAGEA12,7.26e-02,-1.62e-01
PPP4R2,6.45e-02,-2.94e-01
ANKRD19P,1.11e-01,-2.56e-01
UTRN,6.06e-02,2.43e-01
MBOAT7,1.25e-01,-6.93e-01
TMEM201,5.68e-02,-1.52e-01
CACNA1G,1.62e-01,-5.53e-01
UBE2Q1,9.38e-02,2.32e-01
GRM2,1.53e-01,-6.65e-01
MON2,7.97e-02,-2.49e-01
FCN3,1.80e-01,-2.70e-01
EFCAB3,5.63e-02,-1.40e-01
LRRC26,6.09e-02,-1.86e-01
DIMT1,6.56e-02,-2.31e-01
ABR,8.91e-02,5.25e-01
HYI,6.84e-02,-3.07e-01
CREBZF,6.81e-02,-3.31e-01
UBIAD1,5.54e-02,1.56e-01
EXD1,6.10e-02,-2.47e-01
CELF5,7.55e-02,-3.88e-01
RNASE11,5.80e-02,-1.56e-01
VDAC3,1.05e-01,-3.52e-01
DNAJB6,9.48e-02,6.22e-01
FAM195A,8.48e-02,3.09e-01
PTPRG,5.93e-02,1.42e-01
PNMA1,1.57e-01,-5.44e-01
POSTN,1.30e-01,-2.45e-01
TAC3,1.59e-01,-8.93e-01
C5orf63,1.62e-01,-8.21e-01
BAI2,1.13e-01,-5.86e-01
FGF1,1.90e-01,4.41e-01
SFXN4,6.78e-02,-2.96e-01
SPEF2,1.23e-01,-5.48e-01
C20orf103,2.65e-01,-5.37e-01
HIF1A,9.50e-02,5.85e-01
TMEM190,7.92e-02,-2.32e-01
IFNB1,5.83e-02,-1.24e-01
CD81,8.50e-02,3.02e-01
LIPM,5.55e-02,1.64e-01
LEMD3,5.90e-02,1.88e-01
NR2E1,1.22e-01,6.10e-01
ZFYVE21,9.15e-02,-1.86e-01
RIMS2,1.36e-01,-5.67e-01
PAFAH1B2,6.42e-02,-2.85e-01
RHBDD2,1.41e-01,-4.39e-01
P2RY10,5.97e-02,-1.86e-01
CCDC76,1.29e-01,4.35e-01
VGLL3,1.49e-01,-3.00e-01
WNT1,5.52e-02,-1.57e-01
GABRA5,1.27e-01,-5.68e-01
SLC4A10,1.87e-01,-7.59e-01
FAM120C,6.31e-02,2.43e-01
TARBP2,5.62e-02,-1.54e-01
CRABP1,2.68e-01,-3.52e-01
C9orf5,6.54e-02,-1.86e-01
EHMT1,6.38e-02,-2.06e-01
OR7E24,7.37e-02,-2.51e-01
PAPSS2,1.63e-01,3.52e-01
SCRT1,1.40e-01,-5.91e-01
LAT,7.71e-02,-4.10e-01
LOC100292409,6.60e-02,2.47e-01
LOC100131434,7.60e-02,-3.25e-01
GLT8D2,5.34e-02,1.19e-01
KRT25,7.70e-02,3.09e-01
FAM107B,1.14e-01,-8.13e-01
CELF4,2.59e-01,-7.83e-01
RTTN,1.37e-01,4.26e-01
ITM2B,7.23e-02,2.51e-01
ING5,1.15e-01,3.43e-01
HEATR2,6.85e-02,2.11e-01
TRIB2,6.28e-02,1.73e-01
CTPS,9.86e-02,-3.01e-01
STARD13,9.51e-02,4.64e-01
CAMKMT,1.10e-01,3.44e-01
LOC283888,9.46e-02,-6.56e-01
NBEAL2,8.95e-02,2.51e-01
TGFB1I1,8.91e-02,5.74e-01
PTPLA,7.97e-02,-4.31e-01
RBMXL2,5.43e-02,1.34e-01
SH3GL2,2.66e-01,-8.84e-01
KNDC1,8.22e-02,-4.06e-01
ZIM3,5.66e-02,1.37e-01
RRN3,7.04e-02,2.65e-01
SOX11,9.09e-02,3.65e-01
LOC100507507,7.56e-02,4.04e-01
ACAD8,5.86e-02,-1.85e-01
BCL11A,2.20e-01,-1.02
C1orf96,7.16e-02,-3.49e-01
GJC1,1.89e-01,-3.15e-01
HIPK2,2.05e-01,-4.01e-01
USP42,6.87e-02,3.20e-01
MPND,1.07e-01,-6.38e-01
SNX21,9.13e-02,-3.24e-01
